client_id	audio_id	audio_file	duration_ms	prompt_id	prompt	transcription	votes	age	gender	accents	variant	language	prompt_upvotes	prompt_reports	is_edited	split	char_per_sec	quality_tags
3cf166c6b73f030b4f67eeaeba301103	1	spontaneous-speech-en-1.mp3	10044	152	How do you take care of your body and health?	I workout a lot, running, stretching, and taking care of myself through <disfluency> a healthy diet	1					English	0	0	0	test	8.363201911589009	
3cf166c6b73f030b4f67eeaeba301103	2	spontaneous-speech-en-2.mp3	11880	142	What are you proud of?	I'm really proud of my wife, she's quite a fantastic person; <disfluency> inspiring, and just <disfluency> full of a really positive a good energy	1					English	0	0	1	test	10.353535353535353	
3cf166c6b73f030b4f67eeaeba301103	3	spontaneous-speech-en-3.mp3	6444	226	Who is your favourite celebrity or actor?	for whatever reason, I enjoy watching Nicolas Cage	1					English	0	0	0	test	6.6728739913097455	
12b668a1ada1828ba795332f419d4ef7	4	spontaneous-speech-en-4.mp3	5148	138	When you were a child what did you want to be when you grow up?	Told my teachers I wanted to be my own boss when I grew up	1					English	0	0	1	test	8.741258741258742	
12b668a1ada1828ba795332f419d4ef7	5	spontaneous-speech-en-5.mp3	5436	121	What do you want to do with your next day off?	I wanna go hiking, in the woods	1					English	0	0	0	test	4.59896983075791	
12b668a1ada1828ba795332f419d4ef7	6	spontaneous-speech-en-6.mp3	8532	158	What one thing do you wish you did more of to stay healthy?	I'll have to say eat less pizza, but that's really hard to do, because pizza's delicious, but not exactly healthy.	1					English	0	0	0	test	11.13455227379278	
12b668a1ada1828ba795332f419d4ef7	7	spontaneous-speech-en-7.mp3	10584	188	Which sports do you think are fun to watch?	I really enjoy watching weightlifting like the Olympics and specifically <disfluency> hang cleans. 	1					English	0	0	1	test	8.125472411186697	
12b668a1ada1828ba795332f419d4ef7	8	spontaneous-speech-en-8.mp3	4500	152	How do you take care of your body and health?	I work out often, stretch and uh lift weights.	1					English	0	0	0	test	8.444444444444445	
94130ea17023c4837f0dcdda95034b65	10	spontaneous-speech-en-10.mp3	16092	132	What seasons or weather variations do you have in your country?	Depending on where you are at, it can vary. But in my specific location, it is a temporary climate with a lot of rain in the winter and a very long dry spell in the summer, temperatures are around 70 degrees Fahrenheit.	1					English	0	0	1	test	11.061396967437236	
94130ea17023c4837f0dcdda95034b65	11	spontaneous-speech-en-11.mp3	22032	207	What are your thoughts on the benefits and risks of using technology?	I think technology is amazing. Um, I think the benefits bring so much to people in connecting folks, uh, information, um, a- a lot of things. Uh, really, the risks are, I think right now, fake news and media and, uh, fake images from artificial intelligence.	1					English	0	0	0	test	9.667755991285404	
1e65040d77567934e4ffed55c656a3cc	12	spontaneous-speech-en-12.mp3	12492	212	How do you try and save money in your family?	With a spreadsheet and budgeting for specific items like gas, food, entertainment, rent, <disfluency> insurance so many other things	1					English	0	0	0	train	9.125840537944283	
1e65040d77567934e4ffed55c656a3cc	14	spontaneous-speech-en-14.mp3	16236	197	How often do you use a mobile phone?	More often than I'd like to admit, certainly daily, uh for both work and uh communicating with friends and family, news, music and uhm sometimes, ah, some like YouTube videos.	1					English	0	0	1	train	8.992362650899237	
b476828992f393a09339cf6270d30aa8	15	spontaneous-speech-en-15.mp3	17748	204	What technology do you worry about?	I worry about any technology that is collecting more information about me than it needs to provide the service that I am currently using <disfluency> and I worry about technology that use ups people from creative roles	1					English	0	0	0	train	10.254676583276988	
b476828992f393a09339cf6270d30aa8	16	spontaneous-speech-en-16.mp3	21312	144	What wishes do you have for your children?	I wish that they are healthy, happy, resilient, robust grown ups, who care for others and weigh the consequences of their decisions. I also hope that they live lives full of joy and not full of fear.	1					English	0	0	1	train	7.648273273273273	
b476828992f393a09339cf6270d30aa8	18	spontaneous-speech-en-18.mp3	18720	202	Tell me about the time you got your first phone.	I got my first phone when I was 10 because my dad was out a lot <disfluency> working, he was a single dad.  And so, he got me a phone so that I could call him if I needed to when me and my little brother were home alone or walking home from school alone. 	1					English	0	0	0	train	10.63034188034188	
b476828992f393a09339cf6270d30aa8	19	spontaneous-speech-en-19.mp3	34668	215	How can society help people in need?	We can have strong welfare policies, strong education access, we can think about job creation systemically as a society and also a skills laddering so that people can move into better paid professions the more they work at something. Uh, we can also be very thoughtful about how we characterize and talk about people of different ethnicities, classes, genders, orientations, identities, etcetera.	1					English	0	0	0	train	9.663089881158417	
1f539471127c904e22309f6fa599e98f	25	spontaneous-speech-en-25.mp3	8244	233	What is your favorite local radio program?	Uhhhh local radio is NPR...and, uh, especially their tiny desk concert.	1					English	0	0	0	dev	7.399320718098011	
4dcae38ee11d3a6606cc6cd636a3628b	27	spontaneous-speech-en-27.mp3	6804	147	Describe a moment when you felt great joy. What made this experience so special?	The day my daughter was born was a very special day because that was the first time I became a father.	1					English	0	0	0	test	12.051734273956496	
b476828992f393a09339cf6270d30aa8	41	spontaneous-speech-en-41.mp3	19116	219	How can small loans help women start businesses?	It can help women start businesses by giving them the capital that they initially need, uh and that it can particularly help them to become more autonomous and independent from the often male entities in their lives who may uh exert some control over their finances.	1					English	0	0	0	train	11.56099602427286	
b476828992f393a09339cf6270d30aa8	42	spontaneous-speech-en-42.mp3	20088	216	What kinds of businesses do you wish your community had more of?	I wish that my community had more small businesses that sold things that people use in everyday life. A lot of the shops and things around where I live are selling antiques and stuff that people don't really need and that are are not really useful for to normal people with normal incomes.	1					English	0	0	1	train	11.798088410991637	
3b782fa395459a50d498b04c3ed93093	46	spontaneous-speech-en-46.mp3	9756	133	Describe any plants you have grown or harvested	I have grown pumpkins, sunflowers, lettuces, and a few other kinds of vegetables, and flowers that grow in the UK	1	thirties	non-binary			English	0	0	0	train	9.63509635096351	
