client_id	audio_id	audio_file	duration_ms	prompt_id	prompt	reason	comment	language
4dcae38ee11d3a6606cc6cd636a3628b	57	spontaneous-speech-en-57.mp3	9864	155	What traditional medicines exist in your culture?	other	Multiple people talking	English
b476828992f393a09339cf6270d30aa8	17	spontaneous-speech-en-17.mp3	10080	223	What are the main reasons people in your community move to other places?	other	The audio file is not easily decipherable. 	English
1e65040d77567934e4ffed55c656a3cc	13	spontaneous-speech-en-13.mp3	1944	178	What responsibilities do elected officials have to their communities?	other	No spoken audio recorded	English
6504d56b742b6ca68180e542739c85ea	4481	spontaneous-speech-en-4481.mp3	22716	181	What is the most stressful part of your work, studies or hobby?	different_language	Not speaking English	English
6504d56b742b6ca68180e542739c85ea	4520	spontaneous-speech-en-4520.mp3	31752	199	What do you wish you could use technology for?	different_language	No speaking English	English
6504d56b742b6ca68180e542739c85ea	4607	spontaneous-speech-en-4607.mp3	16704	234	What local artist or craftsperson do you admire?	different_language	Not English	English
f6690909f1cc0d16428470dfa65445b7	18418	spontaneous-speech-en-18418.mp3	6408	227	Describe your favourite movie, TV show, or play?	personally_identifiable_information	audio file says person's name	English
6504d56b742b6ca68180e542739c85ea	4531	spontaneous-speech-en-4531.mp3	22572	198	Do people of different ages use technology differently?	different_language	Not English	English
6504d56b742b6ca68180e542739c85ea	4500	spontaneous-speech-en-4500.mp3	29376	133	Describe any plants you have grown or harvested	different_language	Not English	English
6504d56b742b6ca68180e542739c85ea	4571	spontaneous-speech-en-4571.mp3	36108	201	What do you think AI is?	different_language	Not English	English
6504d56b742b6ca68180e542739c85ea	4575	spontaneous-speech-en-4575.mp3	33552	224	How have payments changed in your country over the last five years	different_language	Not English	English
851a915d9143a0a0a20344fc13d674ea	126	spontaneous-speech-en-126.mp3	23220	216	What kinds of businesses do you wish your community had more of?	other	So much background noise. Impossible to hear anything	English
4dcae38ee11d3a6606cc6cd636a3628b	28	spontaneous-speech-en-28.mp3	70992	212	How do you try and save money in your family?	different_language		English
6504d56b742b6ca68180e542739c85ea	4500	spontaneous-speech-en-4500.mp3	29376	133	Describe any plants you have grown or harvested	different_language	Not English	English
6504d56b742b6ca68180e542739c85ea	4504	spontaneous-speech-en-4504.mp3	21348	226	Who is your favourite celebrity or actor?	different_language	Not English	English
6504d56b742b6ca68180e542739c85ea	4566	spontaneous-speech-en-4566.mp3	30420	173	How can we make sure students in schools are kind to each other?	different_language	In English dataset	English
678a46b3396fb8cb4aaa8c2fe742d3ba	4356	spontaneous-speech-en-4356.mp3	9216	183	What kinds of sports or exercise do you like?	different_language		English
6504d56b742b6ca68180e542739c85ea	4575	spontaneous-speech-en-4575.mp3	33552	224	How have payments changed in your country over the last five years	different_language		English
4dcae38ee11d3a6606cc6cd636a3628b	58	spontaneous-speech-en-58.mp3	5436	127	What is the biggest insect where you come from?	personally_identifiable_information		English
851a915d9143a0a0a20344fc13d674ea	138	spontaneous-speech-en-138.mp3	30060	196	What do you use technology for most often?	different_language	Kutuk logon kade	English
caaa08af29cda5da5afd916f2805a921	28909	spontaneous-speech-en-28909.mp3	7128	124	Describe the last animal you saw.	different_language		English
5774e3cb76e3ad4370fba8ad982324c8	20270	spontaneous-speech-en-20270.mp3	18720	136	What advice would you give a friend who is nervous about something?	different_language	Kutuk logon kade 	English
caaa08af29cda5da5afd916f2805a921	28951	spontaneous-speech-en-28951.mp3	11268	172	Do schools in your country support multiple languages?	different_language	Kutuk logon kade 	English
caaa08af29cda5da5afd916f2805a921	28970	spontaneous-speech-en-28970.mp3	17496	176	Describe a historical event you learned about in school	different_language	Kutuk logon kade 	English
5774e3cb76e3ad4370fba8ad982324c8	20258	spontaneous-speech-en-20258.mp3	5688	200	What concerns do you have about mobile phones?	different_language	Kutuk logon kade 	English
caaa08af29cda5da5afd916f2805a921	28889	spontaneous-speech-en-28889.mp3	10656	140	What's your favourite holiday and why?	different_language	Kutuk logon kade 	English
caaa08af29cda5da5afd916f2805a921	28900	spontaneous-speech-en-28900.mp3	18720	149	Describe how a teacher, mentor or relative has shaped your life?	different_language	Kutuk logon kade 	English
5774e3cb76e3ad4370fba8ad982324c8	20214	spontaneous-speech-en-20214.mp3	22320	153	How do you relax and keep your mind healthy?	different_language	a different language	English
